,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,0,3934,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,3934,2312,True,2,I,mimi,False,0.3,-0.4108970159900601,0.3,-0.4108970159900601
2,3,6246,2052,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,8298,2003,True,14,one,moja,False,0.3,-0.2156444781925569,0.3,-inf
4,5,10301,1646,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,11947,2502,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,14449,1702,True,15,have,na,False,0.3,-0.4267878871101841,0.3,-0.42678788711018417
7,8,16151,2117,True,19,hot,moto,False,0.3,-0.4308109359044113,0.3,-0.43081093590441133
8,9,18268,2212,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,20480,2074,True,22,what,nini,False,0.3,-inf,0.3,-inf
10,11,22554,2352,True,20,word,neno,False,0.3,-0.4366061691154156,0.3,-0.4366061691154156
11,12,24906,2738,True,22,what,nini,False,0.3,-0.4462488724886573,0.3,-0.4462488724886573
12,13,27644,2920,True,26,you,ninyi,False,0.3,-inf,0.3,-inf
13,14,30564,2490,True,43,time,wakati,False,0.3,-inf,0.3,-inf
14,15,33054,2307,True,26,you,ninyi,False,0.3,-0.5064747278575169,0.3,-0.5064747278575169
15,16,35361,3219,False,43,time,wakati,False,0.3,-0.4703972167559781,0.3,-0.4703972167559781
16,17,38580,3654,True,50,tell,kuwaambia,False,0.3,-inf,0.3,-inf
17,18,42234,3362,True,52,set,kuweka,False,0.3,-inf,0.3,-inf
18,19,45596,5477,True,50,tell,kuwaambia,False,0.3,-0.5844579765209645,0.3,-0.5844579765209645
19,20,51073,6310,True,52,kuweka,set,True,0.3,-0.6537521244236433,0.3,-inf
20,21,57384,3092,True,14,moja,one,True,0.349609375,-0.800584525128761,0.3,-inf
