,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,26081.974199973047,2490.098599810153,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31410.522499587387,inf,False,2,mimi,I,True,0.3,-0.501923651109026,0.3,-0.501923651109026
2,3,42011.76499994472,inf,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,50822.03729962929,814.8841001093386,True,14,moja,one,True,0.3,-0.6527755042481002,0.3,-inf
4,5,53505.80709986389,1349.7096998617053,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,56566.33689999581,1917.293899692595,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,61542.31509985402,1462.8161997534335,True,15,na,have,True,0.3,-0.6251983981450672,0.3,-inf
7,8,64978.83479995652,2761.1459996551275,True,19,moto,hot,True,0.3,-0.6389155336012853,0.3,-inf
8,9,69607.91380004957,2479.1077999398112,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,74182.20169981943,inf,True,2,mimi,I,True,0.349609375,-0.7003127275944797,0.3,-1.1619860720481199
10,11,79409.96589977294,2434.7995999269187,True,20,neno,word,True,0.3,-0.6847775285060387,0.3,-0.6847775285060387
11,12,83932.26419994608,1288.6332999914885,True,22,what,nini,False,0.3,-inf,0.3,-inf
12,13,87329.3685996905,1686.5225001238284,True,26,you,ninyi,False,0.3,-inf,0.3,-inf
13,14,94055.76279992238,7340.101500041784,False,22,nini,what,True,0.3,-0.6944577946724972,0.3,-inf
14,15,102678.19669982418,1367.4349999055264,False,26,you,ninyi,False,0.3,-0.8193117377551782,0.3,-0.8193117377551782
15,16,107836.96859981863,5982.167399954052,False,14,moja,one,True,0.349609375,-0.7756209375522133,0.3,-1.212993955849755
16,17,115994.63939992712,5506.674699950963,True,15,na,have,True,0.349609375,-0.7639599117856217,0.3,11.959334966462857
17,18,123657.12390001865,1396.9607995823026,True,19,moto,hot,True,0.250390625,-0.7866722898548684,0.3,11.90609548975585
18,19,127212.29799976572,1338.5250000283122,True,2,I,mimi,False,0.34921875,-0.7913004526227653,0.3,-1.384923005917903
19,20,130815.60429977252,4856.915799900889,True,20,neno,word,True,0.349609375,-0.7387901801077922,0.3,-1.2342818530151045
20,21,137475.18449975178,2390.280399937183,True,43,time,wakati,False,0.3,-inf,0.3,-inf
21,22,146859.54039962962,2873.968800064177,False,22,nini,what,True,0.349609375,-0.7464393265368577,0.3,-1.1899748200805889
22,23,151975.38999980316,1356.9244001992047,True,43,time,wakati,False,0.3,-0.8022488465230312,0.3,-0.8022488465230312
23,24,156053.34459990266,7125.472799874842,False,14,one,moja,False,0.39921875,-0.7697114680026856,0.3,-0.7303017414300267
24,25,165694.73769981414,1899.9625002034009,True,26,you,ninyi,False,0.250390625,-0.7918341057034086,0.250390625,-0.7918341057034086
25,26,174235.87489966306,5509.998300112785,False,15,na,have,True,0.39921875,-0.8222413450032651,0.32539062499999993,13.72461766772518
26,27,183080.47469984737,2731.304099783301,True,20,word,neno,False,0.375,-0.7818531601293287,0.3,-1.41946831605222
27,28,187554.94219996035,2892.2023996710773,False,14,moja,one,True,0.4488281249999999,-0.7229481428554493,0.32539062499999993,-0.8607095194349395
28,29,192463.61600002274,2974.2231997661293,False,22,what,nini,False,0.39921875,-0.7447550684857823,0.3,-0.7130427165934693
29,30,198284.14409980175,3143.96349992603,True,50,tell,kuwaambia,False,0.3,-inf,0.3,-inf
