,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,45566.055300179876,1720.8314000163227,True,2,I,mimi,False,0.3,-inf,0.3,9.766260287910034

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,45566.055300179876,1720.8314000163227,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,54487.090000184246,inf,True,2,mimi,I,True,0.3,-0.6565235812869111,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,45566.055300179876,1720.8314000163227,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,54487.090000184246,inf,True,2,mimi,I,True,0.3,-0.6565235812869111,0.3,-inf
2,3,63431.46040011197,1747.5481999572366,True,14,one,moja,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,45566.055300179876,1720.8314000163227,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,54487.090000184246,inf,True,2,mimi,I,True,0.3,-0.6565235812869111,0.3,-inf
2,3,63431.46040011197,1747.5481999572366,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,67373.61190002412,339.1372000332922,True,14,moja,one,True,0.3,-0.4115179920712876,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,45566.055300179876,1720.8314000163227,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,54487.090000184246,inf,True,2,mimi,I,True,0.3,-0.6565235812869111,0.3,-inf
2,3,63431.46040011197,1747.5481999572366,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,67373.61190002412,339.1372000332922,True,14,moja,one,True,0.3,-0.4115179920712876,0.3,-inf
4,5,72420.04470014945,1357.3050999548284,True,15,have,na,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,45566.055300179876,1720.8314000163227,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,54487.090000184246,inf,True,2,mimi,I,True,0.3,-0.6565235812869111,0.3,-inf
2,3,63431.46040011197,1747.5481999572366,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,67373.61190002412,339.1372000332922,True,14,moja,one,True,0.3,-0.4115179920712876,0.3,-inf
4,5,72420.04470014945,1357.3050999548284,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,76125.19500008784,462.0648000854999,False,19,hot,moto,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,45566.055300179876,1720.8314000163227,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,54487.090000184246,inf,True,2,mimi,I,True,0.3,-0.6565235812869111,0.3,-inf
2,3,63431.46040011197,1747.5481999572366,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,67373.61190002412,339.1372000332922,True,14,moja,one,True,0.3,-0.4115179920712876,0.3,-inf
4,5,72420.04470014945,1357.3050999548284,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,76125.19500008784,462.0648000854999,False,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,78250.784000149,3240.2904999908064,True,15,na,have,True,0.3,-0.5289431405784463,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,45566.055300179876,1720.8314000163227,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,54487.090000184246,inf,True,2,mimi,I,True,0.3,-0.6565235812869111,0.3,-inf
2,3,63431.46040011197,1747.5481999572366,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,67373.61190002412,339.1372000332922,True,14,moja,one,True,0.3,-0.4115179920712876,0.3,-inf
4,5,72420.04470014945,1357.3050999548284,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,76125.19500008784,462.0648000854999,False,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,78250.784000149,3240.2904999908064,True,15,na,have,True,0.3,-0.5289431405784463,0.3,-inf
7,8,83155.77010018751,inf,False,19,moto,hot,True,0.3,-0.5850805527102486,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,45566.055300179876,1720.8314000163227,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,54487.090000184246,inf,True,2,mimi,I,True,0.3,-0.6565235812869111,0.3,-inf
2,3,63431.46040011197,1747.5481999572366,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,67373.61190002412,339.1372000332922,True,14,moja,one,True,0.3,-0.4115179920712876,0.3,-inf
4,5,72420.04470014945,1357.3050999548284,True,15,have,na,False,0.3,-inf,0.3,-inf
