,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,27754.898800048973,3688.6990000493824,True,2,I,mimi,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,27754.898800048973,3688.6990000493824,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,34128.570300061256,inf,True,2,mimi,I,True,0.3,-0.5556527031518672,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,27754.898800048973,3688.6990000493824,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,34128.570300061256,inf,True,2,mimi,I,True,0.3,-0.5556527031518672,0.3,-inf
2,3,51978.97659987211,2997.8038002736866,False,14,one,moja,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,27754.898800048973,3688.6990000493824,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,34128.570300061256,inf,True,2,mimi,I,True,0.3,-0.5556527031518672,0.3,-inf
2,3,51978.97659987211,2997.8038002736866,False,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,56095.7563999109,inf,True,14,moja,one,True,0.3,-0.4245213767457171,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,27754.898800048973,3688.6990000493824,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,34128.570300061256,inf,True,2,mimi,I,True,0.3,-0.5556527031518672,0.3,-inf
2,3,51978.97659987211,2997.8038002736866,False,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,56095.7563999109,inf,True,14,moja,one,True,0.3,-0.4245213767457171,0.3,-inf
4,5,59356.10380023718,1899.6688998304305,True,15,have,na,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,27754.898800048973,3688.6990000493824,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,34128.570300061256,inf,True,2,mimi,I,True,0.3,-0.5556527031518672,0.3,-inf
